Log created: 2023-04-10 09:32:54
Type: backup
[2023-04-10 09:48:36][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_plugin.part001.zip success. index:15351 file size:
[2023-04-10 09:48:36][error]Backup the file ends with an error Failed to add zip files. last error:WPVIVID_PCLZIP_ERR_READ_OPEN_FAIL (-2) : Unable to open archive 'C:\xampp\htdocs\Perfumwordpress/wp-content/wpvividbackups/localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_plugin.part001.zip' in wb mode
[2023-04-10 09:48:36][error]Failed to add zip files. last error:WPVIVID_PCLZIP_ERR_READ_OPEN_FAIL (-2) : Unable to open archive 'C:\xampp\htdocs\Perfumwordpress/wp-content/wpvividbackups/localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_plugin.part001.zip' in wb mode
[2023-04-10 09:50:00][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_plugin.part001.zip success. index:15351 file size:
[2023-04-10 09:50:02][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_plugin.part002.zip index:21711
[2023-04-10 09:51:28][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_plugin.part002.zip success. index:21711 file size:55.74 MB
[2023-04-10 09:51:28][notice]Backing up backup_plugin completed.
[2023-04-10 09:51:28][notice]Prepare to backup backup_uploads files.
[2023-04-10 09:51:28][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_uploads.part001.zip index:99
[2023-04-10 09:51:30][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_uploads.part001.zip success. index:99 file size:55.28 MB
[2023-04-10 09:51:30][notice]Backing up backup_uploads completed.
[2023-04-10 09:51:30][notice]Prepare to backup backup_content files.
[2023-04-10 09:51:30][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_content.part001.zip index:23
[2023-04-10 09:51:30][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_content.part001.zip success. index:23 file size:6.42 MB
[2023-04-10 09:51:30][notice]Backing up backup_content completed.
[2023-04-10 09:51:30][notice]Prepare to backup backup_core files.
[2023-04-10 09:51:32][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_core.part001.zip index:2564
[2023-04-10 09:52:12][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_core.part001.zip success. index:2564 file size:58.54 MB
[2023-04-10 09:52:12][notice]Backing up backup_core completed.
[2023-04-10 09:52:12][notice]Prepare to backup backup_merge files.
[2023-04-10 09:52:12][notice]Prepare to zip file. file: localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_db.zip
[2023-04-10 09:52:12][notice]Prepare to zip file. file: localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_themes.zip
[2023-04-10 09:52:12][notice]Prepare to zip file. file: localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_plugin.part001.zip
[2023-04-10 09:52:12][notice]Prepare to zip file. file: localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_plugin.part002.zip
[2023-04-10 09:52:12][notice]Prepare to zip file. file: localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_uploads.zip
[2023-04-10 09:52:12][notice]Prepare to zip file. file: localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_content.zip
[2023-04-10 09:52:12][notice]Prepare to zip file. file: localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_core.zip
[2023-04-10 09:52:12][notice]Backing up backup_merge completed.
[2023-04-10 09:52:12][notice]Backup completed.
